questions,answers
asking control measure fruit borer brinjal,profex solution @ 2 milli litres in 1 litre of water has been suggested to spray.
asking control measure control immature fruit drop problem coconut age 5 year,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk"
asking avail kisan credit card,explained in details.
asked avail training intensive fish cultivation,"giving suggestion to contact nearby krishi vighyan kendra, district fishery office,college of fisheries,and frc,assam."
asking whether number 09435303797 krishi vighyan kendra silchar cachar provided expert correct,replied as yes based on the information available with us. further requested mr.singha to contact our experts if he does not reach the provided number.
asked contol measure leaf curl chilli,suggested to destroy the infected plants.also suggested to spray rogor @ 2ml per liter of water to control the insect vector.
asking control measure late blight disease potato crop cultivation,advised to go for spraying  of  indofil m-45 solution @ 2.5 gram in 1 litre of water alternatively with ridomil mz-72 solution @ 2 gram in 1 litre of water for 3 times at an interval of 7 days.
asking control measure var sowing time bitter gourd,"suggested var. of bitter gourd are long green,extra long and pusa and mousmi for spring season.for summer season monsoon monarch and long green monsoon,coimbatore long.and sowing time are october to november for early,for mid february to march and for late june to july."
asking control measure root rot bhindi duration maize,"suggested spray captan @ 2gm/lt of water or to drench the soil around the root portion. duration of maize for hybrid var.are ganga 101=145-150 days,ganga 5=150-155 days,deccan hybrid=160-165 days."
asking cultivation practice cauliflower,given in details regarding the cultivation practices.
asking control measure late blight potato,suggested to spray copper oxychloride @ 2.0-2.5 gm/lt of water .do not used diseased tuber for planting.
asked fertilizer dose bhindi,"suggested to apply urea 14kg, 41kg ssp, 11 kg mop and 2 quintal fym per bigha."
asking control measure control fruit borer pest brinjal,suggested to spray malathion 50 ec@2 mililitre/litre of water.
telling want tractor chief minister aasam vikash yojana criterias fulfilled,replied that at first he have to approach the agricultural development officer of his district by forming a group of 4-5 farmers or the agricultural engineering divisonal office. also replied that under this scheme the subsidy is 50% and the owner's contribution is 50%.
asked type plant suitable aquarium construction,"suggested him to plant like ludwigia,elodes,vallisnaria,maryophyllum etc..."
asking control measure control damping disease cabbage seedling,suggested to spray captan@2gram/litre of water.
asking control measure field cricket cut worm potato crop cultivation,suggested to apply malathion 5% dust @ 6 kilo grams per bigha of land.
asking control measure control fruit borer pest brinjal,suggested to spray malathion 50ec@2mililitre/litre of water followed by waiting period for 5-7 days.
asking avail kisan credit card facility,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asking cultivation practice okra,given in details regarding the cultivation practices.
asking age castration case goat,the proper age of castration is 2-3 month of age.
asking govt assistance irrigation,"suggested to approach concerned ado, department of agriculture, assam govt. of his locality"
asking control measure downy mildew chilli,suggested mr nath to apply dithane m-45@2gm/litre of water for controlling downy mildew of chilli.
asking control measure anthracnose disease chilli,suggested to apply mancozeb@ 2 gram/litre of water.
asking control measure fungal wilt brinjal,suggested to drench the soil at and around the base of the plant with captan 50 wp solution @ 3 gram in 1 litre of water as the control measure against fungal wilt in brinjal.
asking dosage zinc sulphate applied basal dressing case hybrid rice arize6444,6.5 kilo gram per bigha of land has been replied as the dosage of zinc sulphate to be applied as the basal dressing in case of hybrid rice arize-6444.
asking control measure downey mildew cucumber,suggested mr dey to spray dithane z-78@2ml/litre of water for controlling downey mildew of cucumber.
asking control measure control leaf blast disease boro rice,suggested to apply bavistin@2gram/litre of water.
asking control measure control powdery mildew disease okra,suggested to apply sulfex@2gram/litre of water.
asking control measure control leaf blast disease boro rice,advised him to apply carbendazim@ 2 gram/litre of water.
asking cultivation practice capsicum,given in details about the cultivation practices.
asking kisan credit card,explained in details
asking recommended fertilizer dose coconut age one year,"suggested that the recommended fertilizer dose is like-urea@ 300 gram/plant,ssp@ 500 gram/plant,mop@ 350 gram/plant,fym@ 5 kilogram/plant."
asking control measure fruit rot okra crop cultivation,dithane-z-78 solution @ 2 milli litres per litre of water has been suggested to spray.
asking recommended fertilizer dose coconut age six year,"suggested that the recommended fertilizer dose is like-urea@ 1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@ 1.75 kilogram/plant,fym @ 15 kilogram/plant.fertilizer should be applied in two equal halves twice in a year in ring method."
asking fertilizer dosage term per tree procedure application 5th year stage coconut tree,"1.5, 2.5 and 1.75 kg of urea, single super phosphate and muriate of potash respectively has been suggested along with 25 grams of borax and 250 grams of coconut special powder in terms of per tree of coconut trees in the 6th year stage which all to be applied in two equal split doses. once in april & the other dose in october at a radius of 1-1.75 metre away from the trunk and to a trench of 30 cm width and 10 cm depth. after application should be covered with green leaves and then by soil."
asking fertilizer dosage term per tree procedure application 7th year stage guava tree,"572, 2000 and 445 grams of urea, single super phosphate and muriate of potash respectively has been suggested in terms of per tree of guava in the 10th year stage which all to be applied in two equal split doses. once in april & the other dose in october at a radius of 50 centi metres away from the trunk and to a trench of 20 cm width and 10 cm depths. after application should be covered with green leaves and then by soil."
asking control measure control anthracnose disease chilli,"suggested to apply dithane m-45@2gram/liter of water.

suggested to apply dithane m-45@2gram/liter of water.

suggested to apply dithane m-45@2gram/liter of water."
asking source good breed goat goat farming,"suggested to contact with byrnihut goat research station,byrnihut for good breed goat."
asking control measure pulp weevil mango,"suggested to spray malathion 35 ec @ 1 milli litre per litre of water and to adopt cultural practices like clean cultivation, light hoeing and smearing of lime on the base of the trunk."
asking age castration period dog,suggested to the age of castration period of a dog is 2-3 month.
asking plant protection measure furit borer brinjal,advised to apply furadon 3g @ 2.5 grams per plant and at the stage of 20 days after transplanting in the main field. also advised to grow garlic in between or as a boarder crop for lesser pest attack in brinjal crop cultivation.
asking address krishi vigyan kendra silchar assam,"replied that it is located at arunachar of silchar town. contact number provided of kvk, silchar are 03842-278193 & 94353-03797."
asking good company name deal certified vegetable seed,"naamdhari seeds private ltd., bayer crop science, mahyco etc. have been replied."
asking fertilizer dosage term per tree procedure application 11th year stage coconut tree,"1.5, 2.5 and 1.75 kg of urea, single super phosphate and muriate of potash respectively has been suggested along with 25 grams of borax and 250 grams of coconut special powder in terms of per tree of coconut trees in the 6th year stage which all to be applied in two equal split doses. once in april & the other dose in october at a radius of 1-1.75 metre away from the trunk and to a trench of 30 cm width and 10 cm depth. after application should be covered with green leaves and then by soil."
